generation,best_fitness,min_fitness,max_fitness,mean_fitness,std_fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
228,5.312,5.31282,498.713,12.8203,33.0473,-774.753,177.974,417.398,52.8933,1040.26,4575.44
229,5.312,5.31504,213.21,11.6899,18.0212,-774.753,177.974,417.398,52.8933,1040.26,4575.44
230,5.312,5.31666,373.589,11.956,26.6743,-774.753,177.974,417.398,52.8933,1040.26,4575.44
231,5.312,5.31217,335.055,11.4812,24.046,-774.753,177.974,417.398,52.8933,1040.26,4575.44
232,5.312,5.32094,181.758,11.2691,17.1485,-774.753,177.974,417.398,52.8933,1040.26,4575.44
233,5.312,5.31465,294.217,10.9695,19.2877,-774.753,177.974,417.398,52.8933,1040.26,4575.44
234,5.312,5.31655,251.519,10.9573,18.9973,-774.753,177.974,417.398,52.8933,1040.26,4575.44
235,5.312,5.3147,509.362,12.1715,34.0597,-774.753,177.974,417.398,52.8933,1040.26,4575.44
236,5.312,5.31249,251.951,12.2294,23.5663,-774.753,177.974,417.398,52.8933,1040.26,4575.44
237,5.312,5.31546,235.248,10.5052,16.0815,-774.753,177.974,417.398,52.8933,1040.26,4575.44
238,5.312,5.31352,588.821,12.5913,36.9048,-774.753,177.974,417.398,52.8933,1040.26,4575.44
239,5.312,5.31281,602.129,12.5139,37.91,-774.753,177.974,417.398,52.8933,1040.26,4575.44
240,5.312,5.31238,219.628,10.8471,19.2056,-774.753,177.974,417.398,52.8933,1040.26,4575.44
241,5.312,5.31318,295.149,11.067,22.5413,-774.753,177.974,417.398,52.8933,1040.26,4575.44
242,5.312,5.31311,431.46,11.0779,27.8679,-774.753,177.974,417.398,52.8933,1040.26,4575.44
243,5.312,5.31372,607.595,12.2606,40.183,-774.753,177.974,417.398,52.8933,1040.26,4575.44
244,5.312,5.313,506.453,11.9892,33.2795,-774.753,177.974,417.398,52.8933,1040.26,4575.44
245,5.31008,5.31008,248.826,11.1549,21.3592,-772.479,177.989,415.038,52.9384,1039.74,4571.13
246,5.31008,5.31122,173.729,11.3561,14.5321,-772.479,177.989,415.038,52.9384,1039.74,4571.13
247,5.31008,5.31889,577.628,14.3516,37.1167,-772.479,177.989,415.038,52.9384,1039.74,4571.13
248,5.31008,5.31661,532.576,13.4422,34.4932,-772.479,177.989,415.038,52.9384,1039.74,4571.13
249,5.31008,5.3189,371.607,13.5818,26.8075,-772.479,177.989,415.038,52.9384,1039.74,4571.13
250,5.31008,5.3219,190.753,12.8566,18.1808,-772.479,177.989,415.038,52.9384,1039.74,4571.13
251,5.31008,5.31529,560.994,14.5596,37.1119,-772.479,177.989,415.038,52.9384,1039.74,4571.13
252,5.31008,5.31302,227.894,13.9342,22.1697,-772.479,177.989,415.038,52.9384,1039.74,4571.13
253,5.31008,5.33592,376.342,14.4392,28.203,-772.479,177.989,415.038,52.9384,1039.74,4571.13
254,5.31008,5.31252,507.921,15.815,37.0121,-772.479,177.989,415.038,52.9384,1039.74,4571.13
255,5.31008,5.31385,159.077,13.1588,13.9433,-772.479,177.989,415.038,52.9384,1039.74,4571.13
